,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE,XLC
XLK,1.0,0.5220743597859854,-0.5810836679903647,0.828271962308175,0.4561501045347163,0.0984217431718288,0.5438754939434713,0.9588428465121176,0.8088909628751431,0.6652128941150331,0.913715519726944
XLF,0.5220743597859854,1.0,0.07379265564488291,0.8683687760451888,0.7230284700004345,0.8061811356191223,0.612306021702562,0.6196456747436617,0.5673013054109799,0.8590101215032518,0.5283244103691818
XLE,-0.5810836679903647,0.07379265564488291,1.0,-0.2780466861588703,0.007113341506938741,0.1804522228381985,0.11817998881385976,-0.5613866135648965,-0.251798812481705,0.07734475649240476,-0.6908964140697351
XLI,0.828271962308175,0.8683687760451888,-0.2780466861588703,1.0,0.7607605348497803,0.5946339783828773,0.6713019453843347,0.81733658805015,0.7962923375722272,0.8703711200865343,0.7586916692161627
XLP,0.4561501045347163,0.7230284700004345,0.007113341506938741,0.7607605348497803,1.0,0.802167099388664,0.8443365547236584,0.4336227966342428,0.7149502939528031,0.7090994745427599,0.2517078214821958
XLU,0.0984217431718288,0.8061811356191223,0.1804522228381985,0.5946339783828773,0.802167099388664,1.0,0.4802736538512637,0.19412713927826983,0.2785239950113585,0.5291719998693339,0.10792169184832885
XLV,0.5438754939434713,0.612306021702562,0.11817998881385976,0.6713019453843347,0.8443365547236584,0.4802736538512637,1.0,0.5126465582722944,0.8877862915151792,0.8276904101759179,0.23810712734751083
XLY,0.9588428465121176,0.6196456747436617,-0.5613866135648965,0.81733658805015,0.4336227966342428,0.19412713927826983,0.5126465582722944,1.0,0.7378968831745021,0.6703118701085223,0.9438780014716701
XLB,0.8088909628751431,0.5673013054109799,-0.251798812481705,0.7962923375722272,0.7149502939528031,0.2785239950113585,0.8877862915151792,0.7378968831745021,1.0,0.8517881696149164,0.5566476420894991
XLRE,0.6652128941150331,0.8590101215032518,0.07734475649240476,0.8703711200865343,0.7090994745427599,0.5291719998693339,0.8276904101759179,0.6703118701085223,0.8517881696149164,1.0,0.511483092556471
XLC,0.913715519726944,0.5283244103691818,-0.6908964140697351,0.7586916692161627,0.2517078214821958,0.10792169184832885,0.23810712734751083,0.9438780014716701,0.5566476420894991,0.511483092556471,1.0
