,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE,XLC
XLK,1.0,0.6774690192847465,0.45398372139441845,0.7438147357973884,0.5598185668338527,0.448531005442547,0.6860758803154852,0.850848663052523,0.7100810048056023,0.6017985253472901,0.8422967604540594
XLF,0.6774690192847465,1.0,0.7105319262908069,0.8889085180352037,0.6462831101737248,0.5685410365603426,0.6955530631562918,0.7322576801032987,0.8402893628234828,0.686513274146302,0.6752474333398772
XLE,0.45398372139441845,0.7105319262908069,1.0,0.6971224965529252,0.41776423240942034,0.39520035110128826,0.48033795728558876,0.4885664299809025,0.6770474515024955,0.46959375727213415,0.4522322879731975
XLI,0.7438147357973884,0.8889085180352037,0.6971224965529252,1.0,0.6730841656580089,0.6012279654595127,0.7283457930239047,0.7823526983271895,0.893205207276245,0.7218874701803911,0.6983369984482132
XLP,0.5598185668338527,0.6462831101737248,0.41776423240942034,0.6730841656580089,1.0,0.737476144692738,0.7463422957682438,0.5724273463316653,0.6640647379604947,0.7110503649438382,0.5596813142949945
XLU,0.448531005442547,0.5685410365603426,0.39520035110128826,0.6012279654595127,0.737476144692738,1.0,0.6363243192471976,0.46067403733147716,0.5877937554089961,0.7623229431937023,0.4396373192904944
XLV,0.6860758803154852,0.6955530631562918,0.48033795728558876,0.7283457930239047,0.7463422957682438,0.6363243192471976,1.0,0.6458736977292304,0.71430074415743,0.6965918659989778,0.6526530634740473
XLY,0.850848663052523,0.7322576801032987,0.4885664299809025,0.7823526983271895,0.5724273463316653,0.46067403733147716,0.6458736977292304,1.0,0.7479966921180421,0.6499291667064167,0.8207080340768488
XLB,0.7100810048056023,0.8402893628234828,0.6770474515024955,0.893205207276245,0.6640647379604947,0.5877937554089961,0.71430074415743,0.7479966921180421,1.0,0.7065375372342758,0.6791697496389151
XLRE,0.6017985253472901,0.686513274146302,0.46959375727213415,0.7218874701803911,0.7110503649438382,0.7623229431937023,0.6965918659989778,0.6499291667064167,0.7065375372342758,1.0,0.5932647348658939
XLC,0.8422967604540594,0.6752474333398772,0.4522322879731975,0.6983369984482132,0.5596813142949945,0.4396373192904944,0.6526530634740473,0.8207080340768488,0.6791697496389151,0.5932647348658939,1.0
