,SPY,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE,XLC
SPY,1.0,0.9151140392419265,0.8523319268056234,0.6122574004466085,0.913793554610659,0.7232076903292085,0.5675186112629635,0.7528823150885963,0.8950616778697592,0.8708633167474941,0.7948094983917362,0.889977442011605
XLK,0.9151140392419265,1.0,0.642461328740263,0.4143397038198356,0.7444207722331413,0.5611629364192874,0.3977058360074207,0.5786937581664233,0.8544069724531322,0.6890203616610586,0.6512564675807464,0.8414333298210698
XLF,0.8523319268056234,0.642461328740263,1.0,0.7332172990116133,0.8898426303599803,0.6553243910463297,0.48450902954289043,0.639961110604695,0.7013903197922438,0.8340553081657909,0.69864811984929,0.758463928789252
XLE,0.6122574004466085,0.4143397038198356,0.7332172990116133,1.0,0.6544636232796721,0.45981817242898726,0.2796888357593386,0.4935043227767527,0.4589765240623185,0.638963049435137,0.4183105278388885,0.5036488503681331
XLI,0.913793554610659,0.7444207722331413,0.8898426303599803,0.6544636232796721,1.0,0.7433007075898833,0.5765638336329302,0.7080084527716869,0.7833813662653027,0.8977579290758162,0.7469779035307333,0.7543307378552754
XLP,0.7232076903292085,0.5611629364192874,0.6553243910463297,0.45981817242898726,0.7433007075898833,1.0,0.695249262801455,0.7253229215942448,0.5230742388440632,0.7398761265791531,0.737042295688415,0.5512296486498233
XLU,0.5675186112629635,0.3977058360074207,0.48450902954289043,0.2796888357593386,0.5765638336329302,0.695249262801455,1.0,0.5317624226219801,0.4361988584599858,0.623557569508217,0.7023258129776362,0.45862492050309833
XLV,0.7528823150885963,0.5786937581664233,0.639961110604695,0.4935043227767527,0.7080084527716869,0.7253229215942448,0.5317624226219801,1.0,0.5631778228488729,0.7499038819282409,0.6917095430663445,0.5649639747058707
XLY,0.8950616778697592,0.8544069724531322,0.7013903197922438,0.4589765240623185,0.7833813662653027,0.5230742388440632,0.4361988584599858,0.5631778228488729,1.0,0.7534668551603987,0.733924159136397,0.8011753358816389
XLB,0.8708633167474941,0.6890203616610586,0.8340553081657909,0.638963049435137,0.8977579290758162,0.7398761265791531,0.623557569508217,0.7499038819282409,0.7534668551603987,1.0,0.7864147670974977,0.7312912842060634
XLRE,0.7948094983917362,0.6512564675807464,0.69864811984929,0.4183105278388885,0.7469779035307333,0.737042295688415,0.7023258129776362,0.6917095430663445,0.733924159136397,0.7864147670974977,1.0,0.6841981504544036
XLC,0.889977442011605,0.8414333298210698,0.758463928789252,0.5036488503681331,0.7543307378552754,0.5512296486498233,0.45862492050309833,0.5649639747058707,0.8011753358816389,0.7312912842060634,0.6841981504544036,1.0
