,SPY,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE,XLC
SPY,1.0,0.9185339345042257,0.8372498050922498,0.4961763044181917,0.9244091201967868,0.7481549919032273,0.5352089583178018,0.7029922798847295,0.87825035498441,0.8824252668317518,0.7432913716574019,0.8847812015979667
XLK,0.9185339345042257,1.0,0.58596166111505,0.25967646292133967,0.7566514008901204,0.5672147444603741,0.3289007406766175,0.5072212546209515,0.8794029392235455,0.7256705863611174,0.6161109416424985,0.8650522698607467
XLF,0.8372498050922498,0.58596166111505,1.0,0.6743196183975925,0.8863434928333178,0.6946878650708053,0.5908211496013263,0.6949026650972403,0.6400258958783568,0.8201863845388951,0.6805394703217057,0.7091965767414271
XLE,0.4961763044181917,0.25967646292133967,0.6743196183975925,1.0,0.5883872238047574,0.43848858906204596,0.32456248744670124,0.5242917838124198,0.29309476477419044,0.6037628787318131,0.3812191637514496,0.3537290174322296
XLI,0.9244091201967868,0.7566514008901204,0.8863434928333178,0.5883872238047574,1.0,0.8335196364381549,0.6575971575022374,0.7474841421410835,0.7298652945364635,0.9202275511661762,0.7427704224136904,0.7597647198443407
XLP,0.7481549919032273,0.5672147444603741,0.6946878650708053,0.43848858906204596,0.8335196364381549,1.0,0.8433648611983694,0.8167480824812522,0.5262014771247816,0.8715466139762038,0.8148706246105702,0.5123305482772165
XLU,0.5352089583178018,0.3289007406766175,0.5908211496013263,0.32456248744670124,0.6575971575022374,0.8433648611983694,1.0,0.5567339123363726,0.3508133203374193,0.6694281497730248,0.7886128837066873,0.29718226533045733
XLV,0.7029922798847295,0.5072212546209515,0.6949026650972403,0.5242917838124198,0.7474841421410835,0.8167480824812522,0.5567339123363726,1.0,0.44454540747650384,0.8039050962099855,0.6634261860145244,0.4616062024922048
XLY,0.87825035498441,0.8794029392235455,0.6400258958783568,0.29309476477419044,0.7298652945364635,0.5262014771247816,0.3508133203374193,0.44454540747650384,1.0,0.7114645653575845,0.6407495278196536,0.8348105554519898
XLB,0.8824252668317518,0.7256705863611174,0.8201863845388951,0.6037628787318131,0.9202275511661762,0.8715466139762038,0.6694281497730248,0.8039050962099855,0.7114645653575845,1.0,0.7982993613234054,0.7246633131285969
XLRE,0.7432913716574019,0.6161109416424985,0.6805394703217057,0.3812191637514496,0.7427704224136904,0.8148706246105702,0.7886128837066873,0.6634261860145244,0.6407495278196536,0.7982993613234054,1.0,0.5929447720273109
XLC,0.8847812015979667,0.8650522698607467,0.7091965767414271,0.3537290174322296,0.7597647198443407,0.5123305482772165,0.29718226533045733,0.4616062024922048,0.8348105554519898,0.7246633131285969,0.5929447720273109,1.0
