,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE,XLC
XLK,1.0,0.6375407929661963,0.43169620964818023,0.6882152279736993,0.5642838883006288,0.4653469254598621,0.6501750426827774,0.7811676970127691,0.6496432696089737,0.5510326935764592,0.7713583682262908
XLF,0.6375407929661963,1.0,0.6629995801845033,0.8508617749138604,0.6067343841814014,0.580377845073741,0.6646538278939668,0.6526099311299685,0.7895374059118861,0.6764749246940637,0.6043964571220398
XLE,0.43169620964818023,0.6629995801845033,1.0,0.6328083258309996,0.41256717802558046,0.419659036826974,0.4696074297889492,0.4468356093061468,0.6132320293361797,0.47469083389070643,0.4059210227787347
XLI,0.6882152279736993,0.8508617749138604,0.6328083258309996,1.0,0.6364298973131317,0.589840624829535,0.6974748312444052,0.705136290204568,0.8432570150996972,0.6827568879552405,0.6306713019579046
XLP,0.5642838883006288,0.6067343841814014,0.41256717802558046,0.6364298973131317,1.0,0.6732224349692587,0.6913253492157935,0.5363896055411341,0.6162129455019645,0.6297013893803708,0.5310974578293803
XLU,0.4653469254598621,0.580377845073741,0.419659036826974,0.589840624829535,0.6732224349692587,1.0,0.6114677415244316,0.45920602310911945,0.5944581570770624,0.7042873903570169,0.4456673571891093
XLV,0.6501750426827774,0.6646538278939668,0.4696074297889492,0.6974748312444052,0.6913253492157935,0.6114677415244316,1.0,0.5960710573032009,0.6748140011122381,0.626347091820758,0.5832572274924097
XLY,0.7811676970127691,0.6526099311299685,0.4468356093061468,0.705136290204568,0.5363896055411341,0.45920602310911945,0.5960710573032009,1.0,0.670254876106608,0.5860318533288951,0.7289468830883993
XLB,0.6496432696089737,0.7895374059118861,0.6132320293361797,0.8432570150996972,0.6162129455019645,0.5944581570770624,0.6748140011122381,0.670254876106608,1.0,0.6640694315454441,0.6153387627052511
XLRE,0.5510326935764592,0.6764749246940637,0.47469083389070643,0.6827568879552405,0.6297013893803708,0.7042873903570169,0.626347091820758,0.5860318533288951,0.6640694315454441,1.0,0.5356445392962794
XLC,0.7713583682262908,0.6043964571220398,0.4059210227787347,0.6306713019579046,0.5310974578293803,0.4456673571891093,0.5832572274924097,0.7289468830883993,0.6153387627052511,0.5356445392962794,1.0
