,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE,XLC
XLK,1.0,0.524245148187396,-0.22398770855857625,0.6512584513294208,0.3661362412684773,-0.009718151364200735,0.6664621477827765,0.8808939003406386,0.7056933405005233,0.46582993006169854,0.8815072415534652
XLF,0.524245148187396,1.0,0.4282233947290219,0.9153160736239561,0.6139022640249316,0.5008524820746214,0.6377710605321931,0.7270257211599874,0.7986874706597628,0.8035530998350326,0.6964158202769815
XLE,-0.22398770855857625,0.4282233947290219,1.0,0.31847999284995876,0.19257481947456795,0.15470781077189125,0.23975322030758336,-0.05918415091546818,0.31860720906856255,0.27578030058638875,-0.17903581463428464
XLI,0.6512584513294208,0.9153160736239561,0.31847999284995876,1.0,0.565081548268385,0.3461643924176221,0.6377918101329232,0.8005821478593574,0.8875383829049109,0.6576059966209167,0.7770409629592603
XLP,0.3661362412684773,0.6139022640249316,0.19257481947456795,0.565081548268385,1.0,0.7281515474516003,0.6710675820318223,0.513561457493748,0.6311733408107382,0.8060376861070734,0.2976904753726571
XLU,-0.009718151364200735,0.5008524820746214,0.15470781077189125,0.3461643924176221,0.7281515474516003,1.0,0.2443470662965215,0.24192523758124415,0.23080879514578187,0.6671695035499855,0.1174912236910472
XLV,0.6664621477827765,0.6377710605321931,0.23975322030758336,0.6377918101329232,0.6710675820318223,0.2443470662965215,1.0,0.6432530428969169,0.8234798528166152,0.645921550548485,0.5147376599003903
XLY,0.8808939003406386,0.7270257211599874,-0.05918415091546818,0.8005821478593574,0.513561457493748,0.24192523758124415,0.6432530428969169,1.0,0.8097166413542687,0.6288423150275555,0.8991605710710253
XLB,0.7056933405005233,0.7986874706597628,0.31860720906856255,0.8875383829049109,0.6311733408107382,0.23080879514578187,0.8234798528166152,0.8097166413542687,1.0,0.6496233852030012,0.6828045201017764
XLRE,0.46582993006169854,0.8035530998350326,0.27578030058638875,0.6576059966209167,0.8060376861070734,0.6671695035499855,0.645921550548485,0.6288423150275555,0.6496233852030012,1.0,0.49413631564582844
XLC,0.8815072415534652,0.6964158202769815,-0.17903581463428464,0.7770409629592603,0.2976904753726571,0.1174912236910472,0.5147376599003903,0.8991605710710253,0.6828045201017764,0.49413631564582844,1.0
